"V1","V2"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU15_16"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU151_152"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU154_155"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU157_158"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU159_160"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU17_18"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU1782_1783"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU18_19"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU190_191"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU193_194"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU197_198"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU199_200"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU200_201"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU202_203"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU2052_2053"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU219_220"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU22_23"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU225_226"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU2284_2285"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU233_234"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU2331_2332"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU243_244"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU252_253"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU254_255"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU2561_2562"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU26_27"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU273_274"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU278_279"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU28_29"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU281_282"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU29_30"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU293_294"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU308_309"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU32_33"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU320_321"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU325_326"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU329_330"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU336_337"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU349_350"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU358_359"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU37_38"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU373_374"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU38_39"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU385_386"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU395_396"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU4_5"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU40_41"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU452_453"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU478_479"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU48_49"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU488_489"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU507_508"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU51_52"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU52_53"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU546_547"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU555_556"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU557_558"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU561_562"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU562_563"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU581_582"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU59_60"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU592_593"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU6_7"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU61_62"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU615_616"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU63_64"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU633_634"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU648_649"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU651_652"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU68_69"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU70_71"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU723_724"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU728_729"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU73_74"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU80_81"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU835_836"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU836_837"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU85_86"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU913_914"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU93_94"
"Bergelson_Horton_NatCommun_2014_PID_25382143","16S_OTU949_950"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1000_1001"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1051_1052"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1054_1055"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1084_1085"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1088_1089"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1091_1092"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1107_1108"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1136_1137"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1145_1146"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1152_1153"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1189_1190"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1197_1198"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1198_1199"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1202_1203"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1290_1291"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1386_1387"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1404_1405"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1425_1426"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1481_1482"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1492_1493"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1502_1503"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1537_1538"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1549_1550"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1576_1577"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1584_1585"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1614_1615"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1631_1632"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1644_1645"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1650_1651"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1660_1661"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1666_1667"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1671_1672"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1676_1677"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1713_1714"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1738_1739"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1762_1763"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1772_1773"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1786_1787"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1800_1801"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1805_1806"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1808_1809"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1822_1823"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1827_1828"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1845_1846"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1890_1891"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1941_1942"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU1953_1954"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2043_2044"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2054_2055"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2081_2082"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2082_2083"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2103_2104"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2109_2110"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2128_2129"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2129_2130"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2154_2155"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2179_2180"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2243_2244"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2349_2350"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2419_2420"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2460_2461"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2678_2679"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2761_2762"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2877_2878"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2911_2912"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU2934_2935"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3025_3026"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3029_3030"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3043_3044"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3185_3186"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3313_3313"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3327_3327"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3376_3376"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3421_3421"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3455_3455"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3467_3467"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3507_3507"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3573_3573"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3751_3751"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3804_3804"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3820_3820"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3874_3874"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU3962_3962"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU4268_4268"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU600_601"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU621_622"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU763_764"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU776_777"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU780_781"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU822_823"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU850_851"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU883_884"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU892_893"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU899_900"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU905_906"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU907_908"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU910_911"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU917_918"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU921_922"
"Bergelson_Horton_NatCommun_2014_PID_25382143","ITS_OTU998_999"
"Bergelson_Vetter_PlosGen_2016_PID_27336582","elfDC"
"Bergelson_Vetter_PlosGen_2016_PID_27336582","elfPs"
"Bergelson_Vetter_PlosGen_2016_PID_27336582","elfPv"
"Bergelson_Vetter_PlosGen_2016_PID_27336582","flgPa"
"Bergelson_Vetter_PlosGen_2016_PID_27336582","flgPsHRm"
"Bergelson_Vetter_PlosGen_2016_PID_27336582","flgPsHRp"
"Bergelson_Vetter_PlosGen_2016_PID_27336582","flgPv"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day10_27C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day10_30C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day10_30C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day11_27C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day11_27C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day12_27C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day13_27C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day13_27C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day3_27C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day3_27C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day3_30C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day3_30C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day4_27C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day4_27C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day4_30C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day4_30C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day5_27C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day5_27C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day5_30C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day5_30C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day6_27C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day6_27C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day6_30C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day6_30C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day7_27C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day7_27C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day7_30C_cut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day7_30C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day8_27C_uncut"
"Berthom_Aoun_FronPlaSci_2017_PID_28878784","day9_27C_uncut"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LB_vs_PR_DhighN_vs_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LB_vs_PR_highN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LB_vs_PR_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LR_count_DhighN_vs_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LR_count_highN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LR_count_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LRdensity_DhighN_vs_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LRdensity_highN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LRdensity_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LRlengthave_DhighN_vs_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LRlengthave_highN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LRlengthave_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LRtot_DhighN_vs_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LRtot_highN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","LRtot_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","PR_DhighN_vs_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","PR_highN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","PR_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","PR_plus_LRtot_DhighN_vs_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","PR_plus_LRtot_highN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","PR_plus_LRtot_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","SA_DhighN_vs_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","SA_highN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","SA_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","SA_to_PR_DhighN_vs_lowN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","SA_to_PR_highN"
"Birnbaum_Gifford_PlosGen_201399e1003760_PID_24039603","SA_to_PR_lowN"
"Borevitz_Li_Genetics_2014_PID_24281156","DTF_Oct_2010"
"Borevitz_Li_Genetics_2014_PID_24281156","DTF_Oct_2040"
"Borevitz_Li_Genetics_2014_PID_24281156","DTF_Sep_2010"
"Borevitz_Li_Genetics_2014_PID_24281156","DTF_Sep_2040"
"Borevitz_Li_PNAS_2010_PID_21078970","108_Area_sweden_2009_1st_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","109_SizePlantingSummer2009"
"Borevitz_Li_PNAS_2010_PID_21078970","110_Size_sweden_2009_2nd_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","111_SizePlantingSummerLocSweden2009"
"Borevitz_Li_PNAS_2010_PID_21078970","112_Area_sweden_2009_2nd_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","113_DTF_sweden_2008_1st_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","114_Yield_sweden_2009_2nd_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","115_SizeLocSweden2009"
"Borevitz_Li_PNAS_2010_PID_21078970","116_DTFplantingSummerLocSweden2009"
"Borevitz_Li_PNAS_2010_PID_21078970","117_DTFlocSweden2008"
"Borevitz_Li_PNAS_2010_PID_21078970","118_DTFlocSweden2009"
"Borevitz_Li_PNAS_2010_PID_21078970","119_DTF_spain_2009_1st_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","120_DTFplantingLoc2008"
"Borevitz_Li_PNAS_2010_PID_21078970","121_DTF_spain_2009_2nd_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","122_Yield_spain_2009_2nd_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","123_Size_sweden_2009_1st_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","124_Yield_spain_2009_1st_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","125_DTFmainEffect2009"
"Borevitz_Li_PNAS_2010_PID_21078970","126_DTFmainEffect2008"
"Borevitz_Li_PNAS_2010_PID_21078970","127_Size_spain_2009_2nd_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","128_Size_spain_2009_1st_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","129_DTFplantingSummer2009"
"Borevitz_Li_PNAS_2010_PID_21078970","130_DTFplantingSummer2008"
"Borevitz_Li_PNAS_2010_PID_21078970","131_SizeMainEffect2009"
"Borevitz_Li_PNAS_2010_PID_21078970","132_DTF_spain_2008_1st_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","133_YieldPlantingSummer2009"
"Borevitz_Li_PNAS_2010_PID_21078970","134_DTF_sweden_2009_1st_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","135_YieldLocSweden2009"
"Borevitz_Li_PNAS_2010_PID_21078970","136_DTF_spain_2008_2nd_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","137_YieldMainEffect2009"
"Borevitz_Li_PNAS_2010_PID_21078970","138_YieldPlantingSummerLocSweden2009"
"Borevitz_Li_PNAS_2010_PID_21078970","139_Yield_sweden_2009_1st_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","140_DTF_sweden_2009_2nd_experiment"
"Borevitz_Li_PNAS_2010_PID_21078970","141_DTF_sweden_2008_2nd_experiment"
"Botto_Ibarra_PlaCelEnv_2016_PID_26177669","D2_entrance_per"
"Botto_Ibarra_PlaCelEnv_2016_PID_26177669","GEMINATION_4D_per"
"Botto_Ibarra_PlaCelEnv_2016_PID_26177669","GERMINATION_1D_per"
"Brady_Toal_G3_2018_PID_30322904","Direction_index"
"Brady_Toal_G3_2018_PID_30322904","Root_angle"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_0557"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_0570"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_0596"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_0662"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_0674"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_0704"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_0705"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_0734"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_0790"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_0928"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_1008"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_1036"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_1057"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_1092"
"Brotman_Wu_MolPlant_2018_PID_28866081","NC_1111"
